Phe,fnumber,cvid,pearson_random0,pearson_randomRandom_1,pearson_random2,pearson_randomRandom_3,pearson_random4,pearson_randomRandom_5,pearson_random6,pearson_randomRandom_7,pearson_random8,pearson_randomRandom_9,pearson_mean
DTT,24,cv19,0.27929228362105296,0.296241340526683,0.39501962207919,0.3855229003373929,0.331447561125896,0.305075753382987,0.216640961494825,0.292812773780974,0.34459771583323906,0.35876543286528995,0.32054163450475304
DTT,24,cv20,0.349349106123095,0.42818871229622996,0.333743672523654,0.373393730380546,0.444831901114985,0.360750378030769,0.31142078937828305,0.35596915358498604,0.37955695035448606,0.401871880417112,0.3739076274204146
DTT,24,cv21,0.360996282849431,0.327836171365217,0.33821412082798397,0.388333019092361,0.35157508160658896,0.430276751651961,0.365893035032799,0.386444476736392,0.320338136752352,0.395466313961275,0.36653733898763613
DTT,24,cv22,0.358321214415716,0.355416691196815,0.373463582663073,0.416549787990311,0.42464644637777,0.436889944908605,0.41846727923037397,0.369137076464987,0.43680513515330605,0.44531531662220003,0.4035012475023157
DTT,24,cv24,0.249199387020276,0.29643981442163597,0.35140410757113205,0.422651925087706,0.267447634369075,0.370649059611479,0.36876807009339,0.278243861682325,0.281232090767122,0.398432518462355,0.32844684690864956
DTT,24,cv23,0.36215697154097604,0.39023847281893603,0.42951932623135797,0.44200873579879796,0.421285042074154,0.416381675372345,0.302793696920359,0.299080750887914,0.47305898206830205,0.37605039127954104,0.3912574044992683
DTT,24,cv25,0.281494820976853,0.35307011822219697,0.4463597962544121,0.38376767078267104,0.37011818264496,0.455045650244938,0.32640929488761405,0.290885508504163,0.34342252507990695,0.38597149765547795,0.3636545065253193
DTT,24,cv26,0.41948833563665205,0.4296056978756911,0.395122098964371,0.477486320601855,0.32670665349613504,0.40244360548700603,0.37021350379902207,0.305785161926743,0.460925547122365,0.418713676687969,0.4006490601597809
DTT,24,cv28,0.320082038625717,0.256425032985668,0.400114586246256,0.339506248160517,0.372584856167445,0.43379457319872106,0.36879366332063207,0.382215641816265,0.46768981361055606,0.315665629136634,0.3656872083268411
DTT,24,cv27,0.276720234652716,0.372348798449035,0.324928716681252,0.4040769247646911,0.42010275100614397,0.340698090077859,0.30329305535038203,0.34904105943979197,0.3919472870946071,0.33311294789217605,0.3516269865408655
DTT,24,cv29,0.3600338758625711,0.39377811110553207,0.42353430441596396,0.43453284751776894,0.43626476542356296,0.459646439760549,0.3802477645066711,0.34320075274572603,0.438484238162288,0.39423563289138897,0.40639587323920223
DTT,48,cv0,0.438266268248323,0.43620944559893293,0.450787746065579,0.486484830915548,0.45524851763579294,0.38232407998400003,0.449718253627299,0.44673147067451596,0.440549285269742,0.448927012679865,0.4435246910699598
DTT,48,cv1,0.43299527366454105,0.47497851707216204,0.420505134461835,0.47476759778891897,0.40397307696787393,0.445936065154045,0.45154074009296297,0.45346682326893895,0.450860815188359,0.43346293291871996,0.44424869765783565
DTT,48,cv3,0.510525549125785,0.561165861866522,0.43643398161814295,0.47805466951622394,0.42118481060288304,0.497337803736377,0.49411191945132793,0.456757885933944,0.503406551147198,0.478707672275135,0.4837686705273539
DTT,48,cv2,0.401862129373984,0.48831491265253796,0.400092075790651,0.4698794640445421,0.42676671568176394,0.438031837478543,0.455662432638699,0.41608458432289,0.473922344620604,0.42622639728293604,0.4396842893887151
DTT,48,cv4,0.403216718961553,0.4441742997884411,0.42700665482468897,0.436054626254884,0.42721762273970393,0.40880502924361795,0.372765542557238,0.459617674404398,0.37200555592256107,0.443038313639187,0.41939020383362724
DTT,48,cv6,0.378470890600627,0.425364589124524,0.298693767206168,0.40188707692669606,0.40083840751377997,0.36598536985519997,0.36804312329802097,0.4290483355902321,0.338010046570962,0.383196468829664,0.37895380755158736
DTT,48,cv5,0.447015144793333,0.47668866359470097,0.43971068130864205,0.37941915417749894,0.456421920389674,0.38615923473286207,0.435750934586957,0.429215287565537,0.406139091061086,0.369265107228666,0.42257852194389567
DTT,48,cv7,0.47734294116771997,0.583619743633071,0.47910084336685704,0.493476373878364,0.461650687511646,0.4923805269109339,0.5099585352977071,0.475413167934484,0.495832541975004,0.5235789890655711,0.4992354350741358
DTT,48,cv8,0.48120803614889207,0.49758836280194396,0.402231547526659,0.472893560871993,0.541646692229085,0.370219258070126,0.42945317767568103,0.412513095291856,0.40379531381853206,0.47149390835741706,0.4483042952792185
DTT,48,cv9,0.32753446163079497,0.382530654817019,0.39435035889825104,0.41425001312474297,0.351297241744228,0.39279376424558504,0.427250056401022,0.392327935602564,0.40956100176715,0.394835653886049,0.3886731142117406
DTT,48,cv10,0.454471236830149,0.487344820441385,0.422898701685886,0.45786277221134997,0.5157759062079099,0.428359279178385,0.46603805587221997,0.46379933511097,0.483280065790266,0.461634935459473,0.4641465108787994
DTT,48,cv11,0.38085412781719497,0.43523335280305,0.32770224956736,0.46407761854638896,0.407341987330102,0.404034732431543,0.4118447028446379,0.403994168335932,0.375470006529981,0.45748623371003294,0.4068039179916223
DTT,48,cv12,0.420963619174238,0.491050643971658,0.448887613686916,0.525257433629156,0.39883620753369503,0.49836965839075104,0.506963657020894,0.492247033663554,0.4772589870427071,0.4744812464049529,0.4734316100518522
DTT,48,cv13,0.39710029289060494,0.49910371754319705,0.41103260649702295,0.42069698553311696,0.428469696030726,0.40290624630348,0.41841661930570795,0.405163278173753,0.413494255281272,0.47867264035577295,0.4275056337914654
DTT,48,cv14,0.441355100827669,0.45033752792280896,0.497381919184154,0.534682775032659,0.39042042456717,0.474630814042224,0.49625405053910904,0.495263352750086,0.498469726369285,0.508417091564386,0.4787212782799551
DTT,48,cv15,0.4063925374604289,0.453924447892494,0.42653649150732204,0.47044247587529203,0.40401545873050504,0.424464299646226,0.386365982074798,0.387894737009869,0.408032853393904,0.46555003108300796,0.4233619314673847
DTT,48,cv16,0.50588446428504,0.48486502669292897,0.49702751595735295,0.508185654756777,0.502503821377875,0.489838526521244,0.456528110291857,0.48496421766948,0.5103295373458111,0.497134930216632,0.49372618051149975
DTT,48,cv17,0.43945302165225103,0.416618503072383,0.44708549806564896,0.43622548498543895,0.42868827249824604,0.471498440606252,0.45030554844873294,0.448444936234674,0.445800108113525,0.390419712407207,0.4374539526084359
DTT,48,cv18,0.35581883329832503,0.506963550480658,0.441519785408622,0.47509396469899295,0.45617578231612294,0.451540772554226,0.466492303226196,0.44271022405220295,0.48490054774271996,0.447307009169354,0.452852277294742
DTT,48,cv19,0.36643610461620396,0.370587661919014,0.444770928826551,0.43463019315886403,0.37761638718842894,0.367403770299,0.41997702116318003,0.418923068217599,0.36430241173550104,0.40830433554059603,0.3972951882664938
DTT,48,cv20,0.36445017416867503,0.5259525337974821,0.427592730810344,0.467619995604878,0.450400015852298,0.465113013457319,0.48464777431179407,0.40165340377913705,0.458650696328474,0.475733669319174,0.4521814007429576
DTT,48,cv21,0.455901678956403,0.45075677948299997,0.424595757994887,0.44738864242674997,0.36126258223395896,0.4420279771210471,0.4374812807329261,0.4037720271125,0.39008145768579705,0.414258942632554,0.4227527126379823
DTT,48,cv22,0.5144103244807179,0.522655997623658,0.45915222005763595,0.4745603163819,0.466344367428961,0.513041754159623,0.49167170933881105,0.48340041757388,0.46954677869482303,0.5219925174250579,0.4916776403165068
DTT,48,cv23,0.430080773488573,0.521488557069248,0.48431037020398104,0.486294855763528,0.461590218133801,0.473671503232787,0.47623756955773705,0.41723461636872405,0.517925216720402,0.464627109758863,0.4733460790297645
DTT,48,cv24,0.398540263290374,0.43156039795238504,0.409393824265199,0.500609345114034,0.370070560109627,0.38898858368038497,0.385048491333011,0.37177582993481395,0.33698928201300105,0.45301340933185497,0.40459899870246846
DTT,48,cv25,0.416622747355814,0.433120056914905,0.5082536755521321,0.43690465244721205,0.44506091963790506,0.518660567653011,0.439352131875727,0.41829229770232595,0.43645067359405,0.47033034988820793,0.45230480726212896
DTT,48,cv26,0.44425419798865295,0.508975661560465,0.504034064506172,0.49535274436679,0.44794178447614796,0.490967201825937,0.454365440955669,0.46802695767913105,0.461589962873359,0.48737151781851096,0.47628795340508356
DTT,48,cv27,0.37727974104435996,0.46345612424106297,0.361860960074022,0.458562358125416,0.434885171383161,0.390149505244701,0.411936715010901,0.493896561646936,0.4075435699001,0.392148720413329,0.41917194270839886
DTT,48,cv28,0.43761222287844503,0.464106360254749,0.46953135062429396,0.44620081654103494,0.44195724717262896,0.45663750669973296,0.45937945320314294,0.48341694591539597,0.479035613547224,0.42676365107265896,0.4564641167909307
