Phe,random_id,fnumber,cvid,pearson
DTT,Random_6,192,cv3,0.501001414485723
DTT,Random_6,192,cv4,0.474947620932284
DTT,Random_6,192,cv5,0.441514959924456
DTT,Random_6,192,cv6,0.421983637884013
DTT,Random_6,192,cv7,0.573822061436445
DTT,Random_6,192,cv8,0.476953348438987
DTT,Random_6,192,cv9,0.459948181092532
DTT,Random_6,192,cv10,0.492438423371218
DTT,Random_6,192,cv11,0.473880450404859
DTT,Random_6,192,cv12,0.545476603135424
DTT,Random_6,192,cv13,0.494484995037435
DTT,Random_6,192,cv14,0.551335255715547
DTT,Random_6,192,cv15,0.442817058781662
DTT,Random_6,192,cv16,0.526301623422317
DTT,Random_6,192,cv17,0.494657156246657
DTT,Random_6,192,cv18,0.529117247585284
DTT,Random_6,192,cv19,0.467962909617439
DTT,Random_6,192,cv20,0.50367943466926
DTT,Random_6,192,cv21,0.49463267913577
DTT,Random_6,192,cv22,0.535501854700748
DTT,Random_6,192,cv23,0.505041700034301
DTT,Random_6,192,cv24,0.458906056288066
DTT,Random_6,192,cv26,0.512337245606573
DTT,Random_6,192,cv25,0.571278988943753
DTT,Random_6,192,cv27,0.47326048262401
DTT,Random_6,192,cv28,0.526023801844568
DTT,Random_6,192,cv29,0.530445156242288
DTT,Random_6,384,cv0,0.536740134647194
DTT,Random_6,384,cv1,0.536023315924388
DTT,Random_6,384,cv2,0.565016793137351
DTT,Random_6,384,cv4,0.539963227374486
DTT,Random_6,384,cv3,0.545850497237824
DTT,Random_6,384,cv5,0.552231932358636
DTT,Random_6,384,cv6,0.474108819429676
DTT,Random_6,384,cv8,0.557249471022234
DTT,Random_6,384,cv7,0.563443738601577
DTT,Random_6,384,cv9,0.49547673017985
DTT,Random_6,384,cv10,0.534244073647308
DTT,Random_6,384,cv11,0.51951301989666
DTT,Random_6,384,cv12,0.605322380759838
DTT,Random_6,384,cv13,0.573871654064684
DTT,Random_6,384,cv14,0.610870824640007
DTT,Random_6,384,cv15,0.494108916930004
DTT,Random_6,384,cv16,0.593577542506028
DTT,Random_6,384,cv17,0.540695879930351
DTT,Random_6,384,cv18,0.571254907879044
DTT,Random_6,384,cv19,0.545933534010306
DTT,Random_6,384,cv20,0.610371660730136
DTT,Random_6,384,cv21,0.548942284443502
DTT,Random_6,384,cv22,0.591135700724618
DTT,Random_6,384,cv24,0.49788285720319
DTT,Random_6,384,cv23,0.559139550600333
DTT,Random_6,384,cv26,0.557432316169654
DTT,Random_6,384,cv25,0.592825853143274
DTT,Random_6,384,cv27,0.541745185419262
DTT,Random_6,384,cv28,0.534366200014153
DTT,Random_6,384,cv29,0.599683865930652
DTT,Random_6,1000,cv0,0.594686767175233
DTT,Random_6,1000,cv2,0.589449743210004
DTT,Random_6,1000,cv1,0.523470206311669
DTT,Random_6,1000,cv3,0.601991747299814
DTT,Random_6,1000,cv4,0.542021976153854
DTT,Random_6,1000,cv5,0.53611070362578
DTT,Random_6,1000,cv6,0.498208293476645
DTT,Random_6,1000,cv7,0.600810538550079
DTT,Random_6,1000,cv8,0.57054474703078
DTT,Random_6,1000,cv9,0.509511346054605
DTT,Random_6,1000,cv10,0.562370355644594
DTT,Random_6,1000,cv11,0.529973306942696
DTT,Random_6,1000,cv12,0.62622260779003
DTT,Random_6,1000,cv13,0.566851118134709
DTT,Random_6,1000,cv14,0.652838969288217
DTT,Random_6,1000,cv15,0.544886993824467
DTT,Random_6,1000,cv16,0.617559202643752
