Phe,fnumber,cvid,pearson
PH,12,cv21,0.5836244091557554
PH,12,cv22,0.4786107127742639
PH,12,cv23,0.4831047645379487
PH,12,cv24,0.41089713936176697
PH,12,cv25,0.488237036562138
PH,12,cv26,0.5249624156137064
PH,12,cv28,0.3771411386364838
PH,12,cv27,0.5281654910379832
PH,12,cv29,0.5334377501371795
PH,24,cv0,0.5540701158218106
PH,24,cv1,0.5471669486989639
PH,24,cv4,0.5230357189150661
PH,24,cv5,0.5297193700574659
PH,24,cv6,0.4955944818951364
PH,24,cv2,0.6095622224853633
PH,24,cv3,0.5084607446971552
PH,24,cv7,0.5560923816310739
PH,24,cv8,0.5630317715588277
PH,24,cv9,0.53943772132851
PH,24,cv10,0.5618320650463486
PH,24,cv11,0.5185062287086794
PH,24,cv12,0.5147119116821555
PH,24,cv13,0.4434672172215187
PH,24,cv14,0.4920478709253815
PH,24,cv15,0.6291607548985592
PH,24,cv16,0.5147358552979814
PH,24,cv17,0.517538249731373
PH,24,cv18,0.5853582213051644
PH,24,cv19,0.4877798371569808
PH,24,cv20,0.4829580211626513
PH,24,cv21,0.6113446666809337
PH,24,cv22,0.5673858103775984
PH,24,cv23,0.524260315110046
PH,24,cv24,0.5097280998348037
PH,24,cv25,0.5291896936028873
PH,24,cv26,0.596692486785961
PH,24,cv27,0.5852397730212571
PH,24,cv28,0.5526236754643878
PH,24,cv29,0.5537388600070563
PH,48,cv0,0.5993505148227125
PH,48,cv1,0.574397048900805
PH,48,cv2,0.5762650934769604
PH,48,cv3,0.5666447378010504
PH,48,cv4,0.5646221508157688
PH,48,cv5,0.569081845059215
PH,48,cv6,0.5565978468112005
PH,48,cv7,0.5632851136713009
PH,48,cv8,0.6133068966375573
PH,48,cv9,0.6114125069842562
PH,48,cv10,0.620028386987248
PH,48,cv11,0.5625621941024397
PH,48,cv12,0.550750259396199
PH,48,cv13,0.5511828138424674
PH,48,cv14,0.5624687073305481
PH,48,cv15,0.6623433964899142
PH,48,cv16,0.5806630513259264
PH,48,cv17,0.5386108507183621
PH,48,cv18,0.6272676914866049
PH,48,cv19,0.5399760035965204
PH,48,cv20,0.5754004030891529
PH,48,cv21,0.62661736986752
PH,48,cv22,0.6077843918482242
PH,48,cv23,0.6026929996866331
PH,48,cv24,0.5503044249602892
PH,48,cv25,0.5929171572709662
PH,48,cv26,0.6282037960663671
PH,48,cv27,0.6122119474788708
PH,48,cv28,0.5997021862747608
PH,48,cv29,0.5991199937781634
PH,96,cv0,0.6306345453638317
PH,96,cv3,0.5941717236025712
PH,96,cv1,0.598520584127325
PH,96,cv2,0.6134109409924938
PH,96,cv4,0.5900997623837329
PH,96,cv5,0.5953058768045931
PH,96,cv6,0.5764470785672996
PH,96,cv7,0.580379036787919
PH,96,cv8,0.6423366718177321
PH,96,cv9,0.6341984918938259
PH,96,cv10,0.6487044941963177
PH,96,cv11,0.5676380326474667
PH,96,cv12,0.5878793055141309
PH,96,cv13,0.5437539093170191
PH,96,cv14,0.5698175159232797
PH,96,cv15,0.6637007269194488
PH,96,cv16,0.6051473040310862
PH,96,cv17,0.5831542133001486
PH,96,cv18,0.6289036675048425
PH,96,cv19,0.6011163637928676
PH,96,cv20,0.6082960793228275
PH,96,cv21,0.6853850067282556
PH,96,cv22,0.6413797482559077
PH,96,cv23,0.6216127579630106
PH,96,cv24,0.6126506080160614
PH,96,cv25,0.6014734607215784
PH,96,cv26,0.6792845686123704
PH,96,cv27,0.6582045845236023
PH,96,cv28,0.6237829542109499
PH,96,cv29,0.6428943698929219
PH,192,cv0,0.64767042364245
PH,192,cv1,0.6047908087088976
PH,192,cv2,0.6188433804911124
PH,192,cv3,0.6250230024681198
PH,192,cv4,0.6236335505367914
PH,192,cv5,0.6321462974095462
PH,192,cv6,0.5920951717960901
PH,192,cv7,0.6104942894478984
PH,192,cv8,0.6305304104695404
PH,192,cv9,0.6509113963812215
PH,192,cv10,0.6388606915036648
PH,192,cv11,0.5731457200614212
PH,192,cv12,0.5850099150999969
PH,192,cv13,0.5673243369283434
PH,192,cv14,0.6029893558396301
PH,192,cv15,0.6818331239327895
PH,192,cv16,0.6286462631573962
PH,192,cv17,0.6009438849932376
PH,192,cv18,0.6532103690899651
PH,192,cv19,0.6280040050107514
PH,192,cv20,0.614789104511491
PH,192,cv21,0.6988421733348815
PH,192,cv22,0.6424123721271742
PH,192,cv23,0.6019737844140735
PH,192,cv24,0.6103853518089964
PH,192,cv25,0.6094969608874483
PH,192,cv26,0.6740682318875796
PH,192,cv27,0.6888349539367851
PH,192,cv28,0.6232002313041972
PH,192,cv29,0.6537801067535796
PH,384,cv0,0.660359297939646
PH,384,cv1,0.6135586577545662
PH,384,cv2,0.6124214476890251
PH,384,cv3,0.6262269809067166
PH,384,cv4,0.6288184836024245
PH,384,cv5,0.6440020845080265
PH,384,cv6,0.6204693142540277
PH,384,cv7,0.6212249401399728
PH,384,cv8,0.635910037253564
PH,384,cv9,0.6444891739462805
PH,384,cv10,0.6469974327964053
PH,384,cv11,0.6005486015340544
PH,384,cv12,0.6253288596335284
PH,384,cv13,0.5769053620797788
PH,384,cv14,0.6272201646989979
PH,384,cv15,0.6949967837771994
PH,384,cv16,0.6346982340635345
PH,384,cv17,0.6051014158195134
PH,384,cv18,0.6537682542095948
PH,384,cv19,0.6280252822905947
PH,384,cv20,0.6474852943264957
PH,384,cv21,0.6980187717813557
PH,384,cv22,0.641373123167835
PH,384,cv23,0.6129460431290177
PH,384,cv25,0.597111645514241
PH,384,cv24,0.6182960114884166
PH,384,cv26,0.6766676550372109
PH,384,cv27,0.6938818910500144
PH,384,cv28,0.6259798259784213
PH,384,cv29,0.6491174238177186
PH,1000,cv0,0.6603235827038278
PH,1000,cv3,0.6512114877314831
PH,1000,cv1,0.6144918274371243
PH,1000,cv2,0.6177273395120719
PH,1000,cv4,0.6350698439964314
PH,1000,cv5,0.6458735195889908
PH,1000,cv6,0.6258711931931478
PH,1000,cv7,0.632014853540892
PH,1000,cv8,0.6233764129431034
PH,1000,cv9,0.6571580619854301
PH,1000,cv10,0.6596938347522656
PH,1000,cv11,0.620333010023794
PH,1000,cv12,0.6288254579045509
PH,1000,cv13,0.5804040455613997
PH,1000,cv14,0.6429283348284733
PH,1000,cv15,0.7081720396845865
PH,1000,cv16,0.6382761307950725
PH,1000,cv18,0.6629144087295366
PH,1000,cv17,0.614032322409304
PH,1000,cv19,0.6379059253256467
PH,1000,cv20,0.6536145274124086
PH,1000,cv21,0.6969066394813244
PH,1000,cv22,0.6366783943333665
PH,1000,cv23,0.636416003054721
PH,1000,cv24,0.632473080346362
PH,1000,cv25,0.60687012065465
PH,1000,cv27,0.6989433116652368
PH,1000,cv26,0.6688780003984389
PH,1000,cv28,0.6488943631185771
PH,1000,cv29,0.6591496744029858
PH,2000,cv0,0.6603235827038278
PH,2000,cv1,0.6144918274371243
PH,2000,cv2,0.6177273395120719
PH,2000,cv3,0.6512114877314831
PH,2000,cv4,0.6350698439964314
PH,2000,cv5,0.6458735195889908
PH,2000,cv6,0.6258711931931478
PH,2000,cv7,0.632014853540892
PH,2000,cv8,0.6233764129431034
PH,2000,cv9,0.6571580619854301
PH,2000,cv10,0.6596938347522656
PH,2000,cv11,0.6196539709827359
PH,2000,cv12,0.6288254579045509
PH,2000,cv13,0.5804040455613997
PH,2000,cv14,0.6429283348284733
PH,2000,cv15,0.7081720396845865
PH,2000,cv16,0.6382761307950725
PH,2000,cv17,0.6169161026098113
PH,2000,cv18,0.6629144087295366
PH,2000,cv19,0.6379059253256467
PH,2000,cv20,0.6536145274124086
PH,2000,cv21,0.6969066394813244
PH,2000,cv22,0.6366783943333665
PH,2000,cv24,0.632473080346362
PH,2000,cv25,0.60687012065465
PH,2000,cv23,0.636416003054721
PH,2000,cv26,0.6688780003984389
PH,2000,cv27,0.6989433116652368
PH,2000,cv28,0.6488943631185771
PH,2000,cv29,0.6591496744029858
PH,3000,cv0,0.6603235827038278
PH,3000,cv3,0.6512114877314831
PH,3000,cv1,0.6144918274371243
PH,3000,cv2,0.6177273395120719
PH,3000,cv4,0.6350698439964314
PH,3000,cv5,0.6458735195889908
PH,3000,cv6,0.6258711931931478
PH,3000,cv7,0.632014853540892
PH,3000,cv8,0.6233764129431034
PH,3000,cv9,0.6571580619854301
PH,3000,cv10,0.6596938347522656
PH,3000,cv11,0.6196539709827359
PH,3000,cv12,0.6288254579045509
PH,3000,cv13,0.5804040455613997
PH,3000,cv14,0.6429283348284733
PH,3000,cv15,0.7081720396845865
PH,3000,cv17,0.6169161026098113
PH,3000,cv16,0.6382761307950725
PH,3000,cv18,0.6629144087295366
PH,3000,cv19,0.6379059253256467
PH,3000,cv20,0.6536145274124086
PH,3000,cv21,0.6969066394813244
PH,3000,cv22,0.6366783943333665
PH,3000,cv23,0.636416003054721
PH,3000,cv24,0.632473080346362
PH,3000,cv25,0.60687012065465
PH,3000,cv26,0.6688780003984389
PH,3000,cv27,0.6989433116652368
PH,3000,cv28,0.6488943631185771
PH,3000,cv29,0.6591496744029858
PH,4000,cv0,0.6603235827038278
PH,4000,cv1,0.6144918274371243
PH,4000,cv2,0.6177273395120719
PH,4000,cv3,0.6512114877314831
PH,4000,cv4,0.6350698439964314
PH,4000,cv5,0.6458735195889908
PH,4000,cv6,0.6258711931931478
PH,4000,cv7,0.632014853540892
PH,4000,cv8,0.6233764129431034
PH,4000,cv9,0.6571580619854301
PH,4000,cv10,0.6596938347522656
PH,4000,cv11,0.6196539709827359
PH,4000,cv12,0.6288254579045509
PH,4000,cv13,0.5804040455613997
PH,4000,cv14,0.6429283348284733
PH,4000,cv15,0.7081720396845865
PH,4000,cv16,0.6382761307950725
PH,4000,cv17,0.6169161026098113
PH,4000,cv18,0.6629144087295366
PH,4000,cv19,0.6379059253256467
PH,4000,cv20,0.6536145274124086
PH,4000,cv21,0.6969066394813244
PH,4000,cv22,0.6366783943333665
PH,4000,cv23,0.636416003054721
PH,4000,cv24,0.632473080346362
PH,4000,cv25,0.60687012065465
PH,4000,cv26,0.6688780003984389
PH,4000,cv27,0.6989433116652368
PH,4000,cv28,0.6488943631185771
PH,4000,cv29,0.6591496744029858
PH,All,cv0,0.6603043904502016
PH,All,cv3,0.6512114877314831
PH,All,cv1,0.6144494617616572
PH,All,cv4,0.6350698439964314
