seqname,DTT,PH,EW,cv0,cv1,cv2,cv3,cv4,cv5,cv6,cv7,cv8,cv9,cv10,cv11,cv12,cv13,cv14,cv15,cv16,cv17,cv18,cv19,cv20,cv21,cv22,cv23,cv24,cv25,cv26,cv27,cv28,cv29
MG_1113,71.9448973739136,233.898160113695,85.0430613827129,4,1,1,1,1,1,4,4,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,4,1,1,1,1,1,1
MG_1114,67.5821581123911,204.375123246554,77.0672905905134,1,4,1,4,1,4,1,4,1,1,1,1,1,4,1,1,1,4,1,1,1,1,4,4,4,1,1,4,1,1
MG_1115,70.3743112397655,199.596695084977,75.9687002860661,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,4,1,4,1,1
MG_1116,65.3135336963994,208.821780118224,75.9709468535447,1,1,4,4,1,1,1,4,1,1,1,4,4,4,1,1,1,1,4,1,1,1,4,4,4,1,4,1,1,1
MG_1117,65.8370624077821,244.800533334805,83.7960353305936,1,1,1,4,1,1,4,1,1,1,1,4,1,4,1,1,4,1,1,1,1,1,1,1,4,1,1,4,1,1
MG_1118,68.8037251056174,223.465796219953,97.2366379985924,1,1,1,4,4,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1
MG_1119,64.266476273634,197.311159532284,96.1415932465751,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,4,1
MG_112,66.5351006896257,205.570421477136,103.132213462277,1,1,1,1,1,1,4,1,1,1,4,1,1,4,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
MG_1120,68.1056868237738,266.338019571268,123.1734809024,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,4,1,4,1
MG_1121,71.4213686625309,213.577168606891,76.1891764126656,1,4,1,1,4,4,1,4,1,1,4,4,4,1,1,1,1,1,1,4,4,1,1,1,1,4,1,1,4,1
MG_1123,70.8978399511482,221.797723901254,79.6029102303423,1,1,4,1,1,1,1,1,4,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1
MG_1124,70.3743112397655,236.830342479924,111.420260356499,1,4,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
